oid,name
-12950,Zynga Inc.
-12949,"Zwerling, Schachter & Zwerling, LLP"
-12948,Zurich Of North America
-12947,Zurich North America
-12946,"Zuffa, LLC"
-12945,Zoological Society Of San Diego
-12944,Zoe Institute
-12943,Zions Bancorporation
-12942,"Ziba Beauty Centers, Inc."
-12941,Zero Waste San Diego
-12940,Zero to Three Western Office
-12939,Zenith Insurance Company
-12938,Zelnickmedia
-12937,"Zapolski Real Estate, LLC"
-12936,Zap
-12935,Zanker Road Landfill
-12934,Zais Group LLC
-12933,Zaff LLC
-12932,"Zacks And Freedman, Pc"
-12931,ZACHRYCONSTRUCTION CORPORATION
-12930,Zachry Corporation
-12929,YWCA San Francisco & Marin
-12928,YWCA of San Francisco
-12927,"Yum! Brands, Inc."
-12926,"Yucca Valley, Town Of"
-12925,Yucaipa Valley Water District
-12924,"Yucaipa, City Of"
-12923,Yuba County Water Agency
-12922,Yuba Community College District
-12921,Yuba City
-12920,Youth Law Center - sponsor
-12919,Youth Law Center
-12918,Youth Justice Coalition
-12917,Youth Homes  Inc.
-12916,Youthbuild
-12915,Youth Alive
-12914,"Your Family, Your Choice"
-12913,Your Children's Trees
-12912,Young Women's Freedom Center
-12911,"Young S. Suh, Anesthesia, Inc."
-12910,Youngs Market Company
-12909,Young Invincibles
-12908,Youbet.Com
-12907,Yosemite Community College District
-12906,Yorba Linda Water District
-12905,"Yorba Linda, City Of"
-12904,Yolo Move On
-12903,Yolo Habitat Conservancy
-12902,Yolo County Office of Education
-12901,"Yolo, County Of"
-12900,Yolo County Board of Education
-12899,Yocha Dehe Wintun Nation
-12898,Yin McDonald's
-12897,YHS Trading  Inc.
-12896,"Ygrene Energy Fund, Inc."
-12895,Yellow Pages Association
-12894,Yellow Checker Cab Company
-12893,Yellow Cab
-12892,Yeh & Associates
-12891,Yelp Inc.
-12890,Yaryan
-12889,"Yardi Systems, Inc."
-12888,"Yamaha Motor Corporation, Usa"
-12887,Yamaha Motor Corp  USA
-12886,Yamaha Motor Corporation
-12885,Yamas Controls Group Inc
-12884,Yahoo! Inc.
-12883,Yackzan Group
-12882,YABLON MEDICAL SALES
-12881,Xilinx
-12880,Xia and Associates
-12879,"Xerox Business Services, LLC And Its Affiliates"
-12878,Xerox
-12877,Xeralux Corporation
-12876,Xdx
-12875,Xcel Energy/Southwestern Public Service Company
-12874,Xcel Energy
-12873,Wyndham Worldwide Corporation
-12872,Wyeth Pharmaceuticals
-12871,"W.W. Grainger, Inc."
-12870,Wu Yee Children's Services
-12869,WTU Retail Energy L.P.
-12868,"W Group, Strategic Public Affairs, LLC"
-12867,"Writers Guild Of America, West, Inc."
-12866,W GROUP PROPERTY MANAGEMENT
-12865,"W Power, LLC"
-12864,"W., P., & W."
-12863,"Wounded Warrior Project, Inc."
-12862,Worldwide Interactive Network
-12861,"Worldwide Environmental Products, Inc."
-12860,World Wide Boaters Safety Group
-12859,"WorldVentures Holdings, LLC"
-12858,"World Savings Bank, Fsb"
-12857,"World Oil Corp. And Its Affiliate Coffee Brimhall, LLC"
-12856,World's Finest Chocolate
-12855,WORLCO MANAGEMENT SERVICES
-12854,Worksafe
-12853,Work Loss Data Institute
-12852,Working Rx
-12851,WORKFORCE HOUSING ADVISORS
-12850,Workers Defense Project
-12849,WORKERS COMPENSATION ALLIANCE
-12848,Woolf Farming and Processing
-12847,"Woodside Natural Gas, Inc."
-12846,WOOD RESOURCE RECOVERY LLC
-12845,Woodland Community College Foster and Kinship Care Education
-12844,"Woodland, City Of"
-12843,"Woodard & Curran, Inc."
-12842,"Wonderful Citrus, LLC"
-12841,Women's Voices for the Earth
-12840,Womens Voices for Earth
-12839,Women's Policy Institute
-12838,Women Organizing Resources Knowledge & Services
-12837,Womens March California
-12836,Womens Leadership Project
-12835,Womens Intercultural Network
-12834,Women in Non Traditional Employment Roles
-12833,Women's Health Specialists of California
-12832,"Women's Foundation of California, Women's Policy Institute"
-12831,"Women'S Foundation Of California, The"
-12830,Women's Foundation of California
-12829,Women's Community Clinic
-12828,Women's Center-Youth and Family Services
-12827,Womens Army Corps Veterans Association
-12826,Women and Childrens Fund Eureka
-12825,WM TURNBAUGH CONSTRUCTION
-12824,"Wme Img, LLC And Its Subsidiaries And Affiliates"
-12823,"W. M .Beaty & Associates, Inc."
-12822,Wiyot Tribal Reservation
-12821,Wishtoyo Chumash Foundation
-12820,Wishotyo Chumash Foundation
-12819,Wiseburn School District
-12818,Wise and Healthy Aging
-12817,wireless infrastructure association
-12816,Win Youth Service
-12815,WINTERS & YONKER PA
-12814,Wintec Energy Ltd
-12813,Winning Results
-12812,Winfree Academy Charter School
-12811,Wine  Spirits Wholesalers Of Californiainc
-12810,Wine Institute of California PAC
-12809,Wine Institute California PAC
-12808,Wine Institute
-12807,Wine & Spirits Wholesalers Of Californiainc.
-12806,"Wine & Spirits Distributors of Florida, Inc"
-12805,Windworks Inc.
-12804,Windstream Communications
-12803,Window Covering Manufacturers Association
-12802,WINDOVER FARMS
-12801,"Windhaven Managers, Inc"
-12800,"Windhaven Investment Management, Inc."
-12799,Windhaven Insurance Company
-12798,Wilton Rancheria Tribal Council
-12797,Wilton Rancheria
-12796,Wilson Sonsini Goodrich & Rosati
-12795,"Wilson Farms, Inc."
-12794,WilmerHale
-12793,Will Rogers Polo Club
-12792,"Willie L. Brown, Jr., Inc., On Behalf Of Parsons Water And Infrastructure, Inc."
-12791,Williamson County Sheriff's Office
-12790,WILLIAMSON AUTOMOTIVE
-12789,Williams Scotsman
-12788,William H. Siverling
-12787,Williams C. Velasquez Institute
-12786,"Williams Communications, Inc"
-12785,WILLIAMS COMPANIES
-12784,Willdan Group Of Companies
-12783,"Willdan Group, Inc."
-12782,"Wilkes & McHugh, P. A."
-12781,Wildomar Incorporation Now
-12780,Wildlife Conservation Society
-12779,Wild Goose Storage Inc.
-12778,"Wilderness Trail Bikes, Inc."
-12777,Wholly H20
-12776,Whittier Schools Advocacy Collaborative
-12775,Whittaker Corporation
-12774,"Whiting, Fallon, Ross & Abel LLP"
-12773,WHITING CONSTRUCTION
-12772,Whitis Consulting LLC
-12771,Whitestone Acquisition Corporation
-12770,"White Oak Global Advisors, LLC"
-12769,Whitehall Corporation
