utterance,word_count,org_detected,orgs_labeled
"Mr. President, I rise to speak on the condition of the file. Thank you, I rise as chair of Budget Sub One. And I want to echo the comments of my colleague from San Francisco To use our students, to use economic blackmail to influence speech is really what this is about, and in reading the conversations between the activists now saying Be careful, colleges, because the President is watching. To me, that's the outrage here. Thomas Jefferson once talked about dissent as being the highest form of patriotism.",89,TRUE,"['Budget Sub One']"
"I apologize for not being here for the presentation, so I'm going to hold off on commenting on the proposal. But I'll certainly be listening carefully to all of them. And I'll make a point of reading to this presentation, but I just want to have fun and excited to be here with everybody. I am Chair of the Senate Education Committee, and hopefully we'll have some other Senators come. But I was a student leader myself, a student body President of my own public high school.",87,TRUE,"['Senate Education Committee']"
"Chair Lee and members of the committee, my name is Lucas Rhoads, and I'm testifying on behalf of NRDC, another proud sponsor of AB 363. As Laura's explained, neonics are a driving factor behind massive pollinator declines that threaten ecosystems and agriculture. DePR's reevaluation of neonics began in 2009, prompted by studies showing risks to bees from nonagricultural uses of neonics. Legislature required DPR to complete its reevaluation by 2018. But DPR has not proposed any mitigations for these nonagricultural uses. These pollinator protections are long overdue.",87,TRUE,"['NRDC','DPR']"
"Good afternoon, Chair and Members Anthony Samson with Samson Advisors here on behalf of the California New Car Dealers Association, pleased to support this measure today. CNCDA supports this measure for a very simple reason, and that is that they are committed to the transition to EVs. And in order to be able to facilitate that transition, consumers need to feel comfortable that they are going to be able to purchase those vehicles and be able to charge them in a very clear, consistent, and accessible manner.",87,TRUE,"['California New Car Dealers Association']"
"Leas need to analyze their own systems of assessment, curriculum, instruction, and intervention to create the infrastructure needed to implement this in the event that they aren't already doing it. Or perhaps they are. Furthermore, they need to determine the professional learning necessary to build knowledge of reading difficulties including dyslexia. Leas can look to what the panel is doing now, the reading difficulties risk screener selection panel that was appointed by the State Board in January, and they're developing criteria for the evaluation of those instruments.",87,TRUE,"['Leas']"
"Approval of this request will enable Cradle to career to deliver on its statutory requirement to build and maintain a new statewide data system that prioritizes the security and privacy of the data, the needs of end users, including a focus on advancing equity, a user centered design process, and tools and resources that are accessible and useful to California's diverse students and families. And I'll just close with one reflection, for being a brand new endeavor, Cradle to Career has had an unusually high level of extensive public engagement.",90,TRUE,"['Cradle to Career']"
"Jeremy was the Vice President for American Property Casualty Insurance Association, and prior to that, many of you know him from his time advocating for the business community as a legislative representative for the California Chamber of Commerce, a staple of the Sacramento capital community, jeremy was hard to miss. Because he is six foot seven, jeremy distinguished himself as a standout football player here in Sacramento. At Jesuit High School. He went on as a Division One athlete on full scholarship to Idaho State University.",86,TRUE,"['American Property Casualty Insurance Association','California Chamber of Commerce','Idaho State University']"
"Allen?Aye. Aye, Anderson? Aye.Aye, Bates? Aye.Aye, Beall? Aye. Aye, Berryhill? Aye.Aye, Block? Aye. Aye. Cannella. Aye. Aye, De Leon. Aye. Aye, Fuller. Aye.Aye, Gaines. Aye.Aye, Galgiani. Aye.Aye, Glazer. Aye.Aye, Hall. Aye.Aye, Hancock. Aye. Aye, Hernandez. Aye.Aye, Hertzberg. Aye. Aye, Hill. Aye.Aye, Hueso. Aye.Aye. Huff? Jackson? Aye.Aye. Lara? Aye. Aye. Leno? Aye.Aye. Leyva? Aye.Aye. Liu? McGuire? Aye.Aye. Mendoza? Aye.Aye. Mitchell? Monning? Aye Aye. Moorlach? Aye.Aye Morrell? Nguyen? Aye.Aye Nielsen? Aye.Aye Pan? Aye.Aye Pavley? Aye.Aye Roth? Aye.Aye Runner? Runner Aye? Stone? No. No. Vidak? Aye.Aye. Wieckowski? Aye.Aye. Wolk?",86,TRUE,"['']"
"We do, I will say, and I have had this discussion with Electreon too and many others, is we have to solve the interoperability challenges associated to this because it's new, it's going through the same process many, many others have that's not EV related. So nothing new, but we do have to collectively come together between government, industry, and basically everybody in the space to say how are we going to create that interoperability requirement? Because every time I bid a job out beyond a pilot it's competitively bid, right?",91,TRUE,"['Electreon']"
"Now, in many areas of the state, particularly in the coastal region, a family must earn four to five times the California minimum wage to keep a roof over their heads. And those of us in the California Legislature who follow and care about housing issues are very aware that the high cost of housing is terrible. And people are desperately seeking ways to both meet the housing needs and maintain some capacity at the local level and state level for the Affordable Housing Industry.",85,TRUE,"['California Legislature']"
